R Y M K 
-174.103917 -8.317778 -91.210848 -91.210848 
-217.629896 -10.397223 -120.921315 -107.105804 
-217.629896 -10.397223 -176.183361 -51.843757 
-217.629896 -10.397223 -120.921315 -107.105804 
-217.629896 -10.397223 -148.552338 -79.474780 
-217.629896 -10.397223 -107.105804 -120.921315 
-217.629896 -10.397223 -134.736827 -93.290292 
-217.629896 -10.397223 -107.105804 -120.921315 
-217.629896 -10.397223 -148.552338 -79.474780 
-217.629896 -10.397223 -162.367850 -65.659269 
-217.629896 -10.397223 -120.921315 -107.105804 
-348.207834 -16.635556 -182.421695 -182.421695 
-348.207834 -16.635556 -168.606183 -196.237207 
-348.207834 -16.635556 -182.421695 -182.421695 
-348.207834 -16.635556 -237.683741 -127.159649 
-348.207834 -16.635556 -251.499253 -113.344137 
-348.207834 -16.635556 -223.868230 -140.975160 
-348.207834 -16.635556 -223.868230 -140.975160 
-348.207834 -16.635556 -237.683741 -127.159649 
-348.207834 -16.635556 -210.052718 -154.790672 
-348.207834 -16.635556 -223.868230 -140.975160 
-29.017319 -1.386296 -15.201808 -15.201808 
-87.051958 -4.158889 -45.605424 -45.605424 
-87.051958 -4.158889 -73.236447 -17.974401 
-87.051958 -4.158889 -73.236447 -17.974401 
-87.051958 -4.158889 -59.420935 -31.789912 
-87.051958 -4.158889 -31.789912 -59.420935 
-87.051958 -4.158889 -45.605424 -45.605424 
-87.051958 -4.158889 -59.420935 -31.789912 
-102.253766 -19.360697 -19.360697 -102.253766 
-116.069278 -5.545185 -88.438255 -33.176209 
-116.069278 -5.545185 -46.991720 -74.622743 
-116.069278 -5.545185 -88.438255 -33.176209 
-116.069278 -5.545185 -46.991720 -74.622743 
-116.069278 -5.545185 -88.438255 -33.176209 
-29.017319 -1.386296 -15.201808 -15.201808 
-174.103917 -8.317778 -105.026359 -77.395336 
-174.103917 -8.317778 -77.395336 -105.026359 
-174.103917 -8.317778 -77.395336 -105.026359 
-174.103917 -8.317778 -63.579824 -118.841871 
-174.103917 -8.317778 -118.841871 -63.579824 
-174.103917 -8.317778 -91.210848 -91.210848 
-174.103917 -8.317778 -91.210848 -91.210848 
-174.103917 -8.317778 -91.210848 -91.210848 
-304.681855 -14.556112 -194.157762 -125.080204 
-304.681855 -14.556112 -152.711227 -166.526739 
-304.681855 -14.556112 -166.526739 -152.711227 
-304.681855 -14.556112 -152.711227 -166.526739 
-304.681855 -14.556112 -180.342250 -138.895716 
-304.681855 -14.556112 -194.157762 -125.080204 
-304.681855 -14.556112 -125.080204 -194.157762 
-304.681855 -14.556112 -194.157762 -125.080204 
-464.277112 -22.180742 -298.490973 -187.966880 
-464.277112 -22.180742 -243.228927 -243.228927 
-464.277112 -22.180742 -298.490973 -187.966880 
-464.277112 -22.180742 -270.859950 -215.597904 
